,district,ADM2_ID
5,Alfred Nzo,DC44
6,Amathole,DC25
37,Bojanala,DC12
0,Buffalo City,DC37
3,Cacadu,BUF
46,Cape Winelands,DC10
31,Capricorn,DC2
49,Central Karoo,DC35
4,Chris Hani,DC5
8,City of Cape Town,DC13
14,City of Johannesburg,CPT
15,City of Tshwane,JHB
38,Dr Kenneth Kaunda,TSH
40,Dr Ruth Segomotsi Mompati,DC40
47,Eden,DC39
24,Ehlanzeni,DC4
17,Ekurhuleni,DC32
29,eThekwini,EKU
11,Fezile Dabi,ETH
41,Frances Baard,DC20
36,Gert Sibande,DC9
21,iLembe,DC30
7,Joe Gqabi,DC29
43,John Taolo Gaetsewe,DC14
9,Lejweleputswa,DC45
10,Mangaung,DC18
33,Mopani,MAN
45,Namakwa,DC33
1,Nelson Mandela Bay,DC6
39,Ngaka Modiri Molema,NMA
35,Nkangala,DC38
2,O.R.Tambo,DC31
48,Overberg,DC15
44,Pixley ka Seme,DC3
18,Sedibeng,DC7
34,Sekhukhune,DC42
26,Sisonke,DC47
12,Thabo Mofutsanyane,DC43
25,Ugu,DC19
19,Umgungundlovu,DC21
27,Umkhanyakude,DC22
28,Umzinyathi,DC27
22,Uthukela,DC24
20,Uthungulu,DC23
30,Vhembe,DC28
32,Waterberg,DC34
50,West Coast,DC36
16,West Rand,DC1
13,Xhariep,DC48
42,Z F Mgcawu,DC16
23,Zululand,DC8
,,DC26
