stations,latitude,longitude
aberdeen,24.06098,-32.47634
acornhoek,31.04835,-24.59710
actonville,28.29975,-26.21198
addo,25.69029,-33.54769
adelaide,26.29255,-32.70725
afsondering,28.96145,-30.16502
aggeneys,18.84713,-29.24206
akasia,28.09538,-25.62571
albertinia,21.58325,-34.20860
alberton,28.12692,-26.26088
alexander bay,16.49218,-28.60706
alexandra,28.10089,-26.10548
alexandra road,30.38773,-29.61901
alexandria,26.41200,-33.65057
algoapark,25.57071,-33.90246
alice,26.83583,-32.79033
alicedale,26.08514,-33.31668
aliwal north,26.71103,-30.68748
allanridge,26.64818,-27.75013
alldays,29.10417,-22.68226
amalia,25.05068,-27.24996
amangwe,29.61758,-28.94127
amanzimtoti,30.88011,-30.05182
amersfoort,29.87218,-27.00869
amsterdam,30.66041,-26.62306
apel,29.78591,-24.42233
arlington,27.85058,-28.02889
ashton,20.06699,-33.83361
assen,27.60201,-25.16766
atamelang,25.37052,-26.50534
athlone,18.50724,-33.96157
atlantis,18.49318,-33.56479
atteridgeville,28.07173,-25.77462
augrabies,20.42250,-28.66908
avondale,28.40448,-30.29751
babanango,31.08263,-28.37593
badplaas,30.56857,-25.95836
bainsvlei,26.12837,-29.06613
balfour,26.67652,-32.53628
balfour tvl,28.58695,-26.66282
bandelierkop,29.79739,-23.32103
barberton,31.05178,-25.79074
barkly east,27.59774,-30.96913
barkly west,24.52533,-28.53715
barrydale,20.72117,-33.90276
batho,26.22531,-29.13468
bathurst,26.83917,-33.50484
batlharos,23.34164,-27.30544
baviaanskloof,23.98058,-33.53938
bayswater,26.23033,-29.08896
bayview,30.91170,-29.92278
beacon bay,27.93836,-32.96884
beaufort west,22.58486,-32.34946
bedford,26.08275,-32.68363
bedfordview,28.13719,-26.17960
bedwang,27.96893,-25.08700
bekkersdal,27.69873,-26.28711
bela-bela,28.29453,-24.87751
belfast,30.04588,-25.70144
belhar,18.64877,-33.94692
bell,27.35953,-33.24744
bellair,30.94137,-29.88968
bellville,18.62210,-33.90206
bellville south,18.64655,-33.91541
belmont,24.36647,-29.41678
benoni,28.31337,-26.19655
berea,31.00409,-29.84813
bergville,29.35523,-28.73144
berlin,27.57320,-32.87859
besters,29.64116,-28.43673
bethal,29.46955,-26.46098
bethanie,27.60139,-25.55175
bethelsdorp,25.51261,-33.87062
bethlehem,28.30889,-28.23108
bethulie,25.97663,-30.49887
bhekithemba,30.86016,-29.97721
bhisho,27.44085,-32.85029
bholo,27.62214,-32.38815
Bholothwa,27.1992,-31.9862
biesiesvlei,25.90384,-26.37833
bishop lavis,18.57224,-33.94634
