,0
0,East London Cc
1,Mdantsane Cc
2,Mount Road Cc
3,Mthatha Cc
4,King William'S T Cc
5,Motherwell Cc
6,Port St Johns Cc
7,Uitenhage Cc
8,Graaff-Reinet Cc
9,Cradock Cc
10,Mount Ayliff Cc
11,Queenstown Cc
12,Grahamstown Cc
13,Butterworth Cc
14,Aliwal North Cc
15,Humansdorp Cc
16,Cofimvaba Cc
17,Alice Cc
18,Mount Fletcher Cc
19,Mqanduli Cc
20,Elliot Cc
21,Port Alfred Cc
22,Port St John Cc
23,Park Road Cc
24,Welkom Cc
25,Thabong Cc
26,Mangaung Cc
27,Selosesha Cc
28,Zamdela Cc
29,Phuthaditjhaba Cc
30,Bethlehem Cc
31,Kroonstad Cc
32,Ficksburg Cc
33,Smithfield Cc
34,Trompsburg Cc
35,Joburg West Cc
36,Joburg Central Cc
37,Tshwane Central Cc
38,West Rand Cc
39,Tshwane North Cc
40,Tshwane East Cc
41,Tshwane West Cc
42,Joburg North Cc
43,Ekurhuleni North Cc
44,Joburg East Cc
45,Ekurhuleni Centr Cc
46,Ekurhuleni East Cc
47,Soweto East Cc
48,Sedibeng Cc
49,Soweto West Cc
50,Ekurhuleni West Cc
51,Gauteng: Ports Of Entry: Air
52,Ethekwini Central Cc
53,Ethekwini Outer/N Cc
54,Ethekwini Inn&Out Cc
55,Umgungundlovo S Cc
56,King Cetshwayo Cc
57,Ilembe Cc
58,Ethekwini Inner/N Cc
59,Ethekwini Inner/S Cc
60,Ethekwini Outer/S Cc
61,Uthukela Cc
62,Amajuba Cc
63,Umgungundlovo N Cc
64,Ugu Cc
65,Zululand Cc
66,Harry Gwala Cc
67,Umkhanyakude Cc
68,Umzinyathi Cc
69,Kwazulu-Natal: Ports Of Entry:
70,Thohoyandou Cc
71,Mankweng Cc
72,Lebowakgomo Cc
73,Seshego Cc
74,Mahwelereng Cc
75,Tzaneen Cc
76,Giyani Cc
77,Groblersdal Cc
78,Makhado Cc
79,Burgersfort Cc
80,Bela Bela Cc
81,Lephalale Cc
82,Modimolle Cc
83,Witbank Cc
84,Pienaar Cc
85,Middelburg Cc
86,Kwamhlanga Cc
87,Ermelo Cc
88,Secunda Cc
89,Standerton Cc
90,Acornhoek Cc
91,Piet Retief Cc
92,Tonga Cc
93,Rustenburg Cc
94,Klerksdorp Cc
95,Mahikeng Cc
96,Brits Cc
97,Pudimoe Cc
98,Vryburg Cc
99,Zeerust Cc
100,Frances Baard Cc
101,Zf Mgcawu Cc
102,Jt Gaetsewe Cc
103,Pixley Ka Seme Cc
104,Namakwa Cc
105,Cape Town Cc
106,Mitchells Plain Cc
107,Worcester Cc
108,Blue Downs Cc
109,Tygerberg Cc
110,Winelands Cc
111,Nyanga Cc
112,Milnerton Cc
113,Khayelitsha Cc
114,Eden Cc
115,Wynberg Cc
116,Overberg Cc
117,Beaufort West Cc
118,Vredenburg Cc
119,Da Gamaskop Cc
120,Vredendal Cc
121,East Metropol
